Section,Index,Actual_ClosePrice,Predicted_ClosePrice,Reconstruction_Error,Scaled_Reconstruction_Error,iFMII_linear,iFMII_rank_linear,p_value_linear,Best_k,RMSE,Scaled_RMSE,iFMII_rank_nonlinear,p_value_nonlinear,iFMII_nonlinear,ip_value
6,19,8.2,8.225194510824538,0.0006347633756878,0.0634763375687815,0.4428712693996542,63.0,0.7241379310344828,9.0,0.0489079944253935,0.0,43.0,1.0,,0.8620689655172413
7,16,8.25,8.279199323798528,0.0008526005102912,0.0852600510291268,0.0690912230139813,83.0,0.9540229885057472,4.0,0.15858266159835,0.0723288768622017,35.0,0.813953488372093,,0.8839882384389202
7,17,8.21,8.24788369470267,0.001435174324325,0.1435174324325069,0.0690912230139813,83.0,0.9540229885057472,4.0,0.15858266159835,0.0723288768622017,35.0,0.813953488372093,,0.8839882384389202
7,18,8.2,8.213024410038715,0.0001696352568565,0.0169635256856594,0.0690912230139813,83.0,0.9540229885057472,4.0,0.15858266159835,0.0723288768622017,35.0,0.813953488372093,,0.8839882384389202
7,19,8.22,8.202500319171873,0.0003062388290863,0.030623882908632,0.0690912230139813,83.0,0.9540229885057472,4.0,0.15858266159835,0.0723288768622017,35.0,0.813953488372093,,0.8839882384389202
8,17,8.22,8.22781330697884,6.104776594557902e-05,0.0061047765945579,1.6002670010985816,48.0,0.5517241379310345,9.0,0.3329489174566698,0.1873209326758834,20.0,0.4651162790697674,,0.5084202085004009
8,18,8.4,8.230969966607633,0.0285711521886248,2.8571152188624813,1.6002670010985816,48.0,0.5517241379310345,9.0,0.3329489174566698,0.1873209326758834,20.0,0.4651162790697674,,0.5084202085004009
8,19,8.14,8.279197018927803,0.019375810078387,1.9375810078387057,1.6002670010985816,48.0,0.5517241379310345,9.0,0.3329489174566698,0.1873209326758834,20.0,0.4651162790697674,,0.5084202085004009
9,18,8.14,8.234547080361153,0.0089391504048182,0.8939150404818281,4.3962960005007785,14.0,0.160919540229885,10.0,0.6267338353561211,0.3810678908244929,4.0,0.0930232558139534,,0.1269713980219192
9,19,8.7,8.41895415035052,0.0789867696051973,7.89867696051973,4.3962960005007785,14.0,0.160919540229885,10.0,0.6267338353561211,0.3810678908244929,4.0,0.0930232558139534,,0.1269713980219192
10,19,8.14,8.251791628186679,0.0124973681326284,1.2497368132628457,1.2497368132628457,52.0,0.5977011494252874,9.0,1.5652410543442488,1.0,1.0,0.0232558139534883,,0.31047848168938785
11,19,8.82,8.491956204007405,0.1076127320892316,10.76127320892316,10.76127320892316,2.0,0.0229885057471264,7.0,0.4402138342159316,0.2580606135511404,13.0,0.3023255813953488,,0.16265704357123761
12,19,8.84,8.6586166842661,0.0328999072266235,3.2899907226623566,3.2899907226623566,27.0,0.3103448275862069,10.0,0.5978703084338134,0.3620328069862151,5.0,0.1162790697674418,,0.21331194867682435
13,16,8.81,8.63703012143796,0.0299185788897672,2.9918578889767224,3.150359107884227,29.0,0.3333333333333333,1.0,0.2701262665255276,0.1458902914851519,28.0,0.6511627906976745,,0.49224806201550386
13,17,8.71,8.593620601016788,0.0135441645076938,1.354416450769386,3.150359107884227,29.0,0.3333333333333333,1.0,0.2701262665255276,0.1458902914851519,28.0,0.6511627906976745,,0.49224806201550386
13,18,8.25,8.494187747622552,0.0596276560889753,5.962765608897538,3.150359107884227,29.0,0.3333333333333333,1.0,0.2701262665255276,0.1458902914851519,28.0,0.6511627906976745,,0.49224806201550386
13,19,8.3,8.148593379177354,0.0229239648289326,2.29239648289326,3.150359107884227,29.0,0.3333333333333333,1.0,0.2701262665255276,0.1458902914851519,28.0,0.6511627906976745,,0.49224806201550386
14,19,8.52,8.38120582504833,0.0192638230005147,1.9263823000514757,1.9263823000514757,45.0,0.5172413793103449,1.0,0.1634567677565426,0.0755432802719997,33.0,0.7674418604651163,,0.6423416198877305
15,19,8.42,8.361608175565909,0.0034096051607417,0.3409605160741716,0.3409605160741716,79.0,0.9080459770114944,8.0,0.5257071477941888,0.3144422330238652,9.0,0.2093023255813953,,0.5586741512964448
16,18,8.59,8.648161385336026,0.0033827467442057,0.3382746744205738,1.7141899408668868,46.0,0.5287356321839081,1.0,0.2277845848682756,0.1179665570652759,30.0,0.6976744186046512,,0.6132050253942796
16,19,8.34,8.515786950804467,0.030901052073132,3.0901052073132,1.7141899408668868,46.0,0.5287356321839081,1.0,0.2277845848682756,0.1179665570652759,30.0,0.6976744186046512,,0.6132050253942796
17,18,8.35,8.314867774111097,0.0012342732959089,0.1234273295908911,0.217236812346881,80.0,0.9195402298850576,10.0,0.4251499000458424,0.2481261640767649,16.0,0.3720930232558139,,0.6458166265704357
17,19,8.4,8.455771524553564,0.0031104629510287,0.311046295102871,0.217236812346881,80.0,0.9195402298850576,10.0,0.4251499000458424,0.2481261640767649,16.0,0.3720930232558139,,0.6458166265704357
18,19,8.27,8.376842105263165,0.0114152354570653,1.1415235457065362,1.1415235457065362,56.0,0.6436781609195402,9.0,0.7033733638061975,0.4316105654359517,3.0,0.0697674418604651,,0.3567228013900027
19,19,8.34,8.42485887310704,0.0072010283449966,0.7201028344996658,0.7201028344996658,62.0,0.7126436781609196,10.0,0.3796804773149158,0.21813972908249,17.0,0.3953488372093023,,0.553996257685111
20,19,8.21,8.429870129870135,0.0483428740091097,4.834287400910978,4.834287400910978,6.0,0.0689655172413793,10.0,0.9713148889537226,0.6083141751045714,2.0,0.0465116279069767,,0.057738572574178
21,18,8.3,8.484417641744638,0.0340098665866535,3.400986658665354,2.135392003403459,43.0,0.4942528735632184,10.0,0.4377764608156742,0.2564532005990099,14.0,0.3255813953488372,,0.4099171344560278
21,19,8.34,8.433262926618328,0.0086979734814156,0.8697973481415637,2.135392003403459,43.0,0.4942528735632184,10.0,0.4377764608156742,0.2564532005990099,14.0,0.3255813953488372,,0.4099171344560278
22,19,8.22,8.430712124437427,0.0443995993849335,4.439959938493355,4.439959938493355,12.0,0.1379310344827586,10.0,0.1574219716533222,0.0715634184179402,36.0,0.8372093023255814,,0.48757016840417
23,19,8.22,8.399084406505262,0.0320712246533415,3.207122465334158,3.207122465334158,28.0,0.3218390804597701,10.0,0.0961724661999277,0.0311702442054936,40.0,0.9302325581395348,,0.6260358192996525
24,15,8.34,8.354799578034884,0.0002190275100106,0.0219027510010619,0.401551341166275,71.0,0.8160919540229885,9.0,0.1269978085715507,0.0514991173181544,38.0,0.8837209302325582,,0.8499064421277733
24,16,8.3,8.364007680569197,0.0040969831718482,0.4096983171848207,0.401551341166275,71.0,0.8160919540229885,9.0,0.1269978085715507,0.0514991173181544,38.0,0.8837209302325582,,0.8499064421277733
24,17,8.22,8.27692696755357,0.003240679634845,0.3240679634845055,0.401551341166275,71.0,0.8160919540229885,9.0,0.1269978085715507,0.0514991173181544,38.0,0.8837209302325582,,0.8499064421277733
24,18,8.22,8.316011342024812,0.0092181777974052,0.9218177797405236,0.401551341166275,71.0,0.8160919540229885,9.0,0.1269978085715507,0.0514991173181544,38.0,0.8837209302325582,,0.8499064421277733
24,19,8.22,8.27746911295822,0.0033026989442046,0.3302698944204636,0.401551341166275,71.0,0.8160919540229885,9.0,0.1269978085715507,0.0514991173181544,38.0,0.8837209302325582,,0.8499064421277733
